id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.525,1.2375,0.4125,32.6302745,12.74310025,6.577084,10.44679075,10.0
1,M,1.8625,1.425,0.5125,62.3972495,28.33532525,10.87203325,18.8524175,16.0
2,F,1.55,1.25,0.3875,31.808139,11.49572225,7.27164675,9.355335,14.0
3,M,1.4375,1.1125,0.3375,28.066005,13.87708025,6.19436575,7.7961125,9.0
4,I,1.2875,1.025,0.3,15.74814725,6.13766675,3.47281375,4.6776675,8.0
5,M,1.625,1.2125,0.375,41.7588135,19.71707725,8.57572375,10.0073735,8.0
6,I,1.375,1.075,0.35,23.643483,9.87980075,4.63514325,7.2291225,8.0
7,M,1.6125,1.2125,0.4125,34.74231225,16.0174675,7.314171,9.355335,9.0
8,F,1.55,1.275,0.4375,34.62891425,15.87572,6.4920355,8.6465975,11.0
9,F,1.5875,1.25,0.425,40.66735775,19.00833975,8.278054,10.886208,10.0
10,M,1.625,1.2625,0.4375,35.81959325,14.10387625,8.9300925,10.9145575,11.0
11,I,0.6125,0.4875,0.1375,1.7860185,0.60951425,0.396893,0.56699,4.0
12,F,1.225,0.95,0.3375,15.3370795,6.747181,3.58621175,5.2446575,7.0
13,F,1.5125,1.175,0.45,32.98464325,14.30232275,8.68912175,9.07184,9.0
14,M,1.45,1.075,0.3625,23.65765775,8.20718025,4.479221,8.9300925,16.0
15,I,1.125,0.9,0.275,14.64251675,6.8322295,3.07592075,4.53592,8.0
16,I,1.0375,0.8,0.25,10.41844125,4.1673765,1.8994165,2.9766975,8.0
17,I,1.0875,0.8125,0.275,10.4042665,4.5075705,2.33883375,2.9766975,7.0
18,M,1.5375,1.1875,0.3625,29.7386255,13.097469,6.13766675,7.087375,8.0
19,F,1.25,0.95,0.35,16.839603,6.78970525,3.58621175,5.2446575,11.0
20,M,1.55,1.225,0.4125,32.16250775,13.664459,7.257472,9.922325,9.0
21,I,1.45,1.1375,0.4,29.21415975,13.99047825,7.030676,7.7961125,10.0
22,I,0.9875,0.75,0.2375,7.6260155,3.118445,1.74349425,2.26796,6.0
23,F,1.5125,1.2375,0.45,33.849303,12.8990225,6.4353365,11.056305,16.0
24,I,1.175,0.8875,0.3125,15.2236815,6.13766675,3.50116325,3.685435,7.0
25,F,1.375,1.0625,0.4,27.00289875,12.23280925,5.54232725,8.1363065,7.0
26,F,1.6375,1.2625,0.45,42.297454,20.82270775,8.83086925,10.489315,11.0
27,F,1.4,1.1,0.375,27.6974615,9.19941275,5.8683465,10.489315,20.0
28,I,1.375,1.0375,0.325,20.3265915,9.525432,4.706017,5.6699,8.0
29,M,1.4125,1.075,0.35,23.57260925,10.73028575,4.40834725,6.6621325,8.0
30,F,1.5,1.1375,0.4625,29.44095575,10.4609655,6.1518415,9.7805775,19.0
31,M,1.5875,1.2125,0.4,35.096681,15.80484625,8.731646,9.3269855,11.0
32,M,1.3375,1.0,0.3375,20.08562075,9.695529,4.43669675,5.6699,9.0
33,M,1.55,1.2125,0.4,29.48348,12.85649825,7.597666,8.50485,9.0
34,I,0.8875,0.6625,0.225,6.44951125,2.7499015,1.28990225,1.304077,6.0
35,M,1.525,1.2,0.3875,27.91008275,12.09106175,6.123492,8.0796075,11.0
36,F,1.525,1.2,0.4,34.06192425,15.03940975,8.9300925,8.50485,15.0
37,M,0.95,0.6875,0.25,7.2858215,3.005047,1.63009625,2.4097075,7.0
38,M,1.2875,0.9625,0.3125,18.824068,9.93649975,5.216308,4.3941725,8.0
39,M,1.2,0.9375,0.325,15.252031,7.0590255,3.231843,4.819415,9.0
40,M,1.5875,1.275,0.425,39.41997975,17.293195,8.54737425,11.623295,9.0
41,F,1.4125,1.075,0.3,23.71435675,12.6155275,4.989512,6.80388,9.0
42,F,1.8375,1.425,0.4875,49.90929475,21.98503725,11.9918385,13.1825175,11.0
43,F,1.675,1.3625,0.4875,45.8978405,17.463292,10.58853825,14.33067225,18.0
44,I,0.9625,0.725,0.225,6.7188315,2.324659,1.11980525,2.324659,10.0
45,M,1.2,0.9,0.3,17.916884,7.35669525,4.01145425,4.9611625,8.0
46,F,1.45,1.1625,0.4125,26.43590875,10.3475675,5.783298,8.50485,12.0
47,F,1.525,1.2,0.4125,29.15746075,12.3320325,7.41339425,8.50485,18.0
48,M,1.3,1.025,0.425,23.99785175,8.09378225,4.97533725,9.63883,14.0
49,M,1.5375,1.1875,0.4,31.6096925,13.8062065,6.47786075,8.3631025,10.0
50,I,0.525,0.375,0.1375,1.23320325,0.5386405,0.18427175,0.3685435,5.0
51,I,0.5625,0.4,0.175,1.31825175,0.7087375,0.4252425,0.4252425,4.0
52,I,1.1625,0.9125,0.2625,12.530479,4.9611625,2.6365035,3.40194,7.0
53,M,1.625,1.25,0.4125,38.11590275,16.82542825,7.47009325,10.942907,10.0
54,M,1.5625,1.2375,0.425,31.127751,15.52135125,7.427569,8.0796075,10.0
55,F,1.575,1.3125,0.4125,35.98969025,14.13222575,7.7961125,12.0485375,13.0
56,F,1.5375,1.1875,0.3875,25.69882175,11.396499,6.4353365,8.0796075,10.0
57,F,1.525,1.25,0.425,31.48211975,13.31009025,6.690482,8.9300925,12.0
58,I,0.5125,0.3625,0.1375,1.814368,0.60951425,0.396893,0.60951425,5.0
59,F,1.6125,1.35,0.4375,44.91978275,18.9091165,9.17106325,13.324265,21.0
60,F,1.7125,1.3125,0.4625,48.23667425,20.2131935,10.9712565,11.3398,11.0
61,M,1.1875,0.975,0.35,15.74814725,6.47786075,3.04757125,6.80388,10.0
62,I,0.875,0.6625,0.175,6.0384435,2.381358,1.3891255,1.70097,8.0
63,M,1.625,1.2625,0.4125,31.6096925,13.6928085,7.9662095,10.20582,13.0
64,F,1.2875,1.0375,0.35,19.94387325,8.34892775,3.798833,5.953395,10.0
65,M,1.3625,1.0125,0.35,23.26076475,11.38232425,4.86193925,5.2446575,8.0
66,I,1.2,0.925,0.3125,15.87572,5.6982495,2.9199985,4.9611625,8.0
67,M,1.4,1.1,0.35,23.88445375,8.94426725,5.17378375,7.37087,15.0
68,I,0.8375,0.65,0.225,5.31553125,2.08368825,1.4458245,1.2757275,7.0
69,M,1.3125,1.0,0.3625,20.19901875,7.93786,4.40834725,6.23689,10.0
70,M,1.475,1.1375,0.3625,27.612413,12.133586,4.77689075,7.83863675,10.0
71,F,1.5875,1.2125,0.4,35.380176,17.08057375,8.221355,8.8733935,10.0
72,I,1.3625,1.05,0.3375,21.87163925,7.98038425,4.37999775,6.0951425,13.0
73,I,0.9625,0.725,0.2375,5.5848515,2.4097075,1.2190285,2.1262125,8.0
74,I,0.9375,0.7,0.225,6.2085405,2.664853,1.60174675,1.984465,7.0
75,F,1.5625,1.25,0.4375,34.6147395,16.4710595,7.64019025,10.6310625,11.0
76,F,1.2875,1.0,0.3875,20.0997955,9.96484925,5.0745605,5.953395,10.0
77,I,1.4375,1.125,0.4125,22.94892025,10.149121,4.422522,7.37087,12.0
78,M,1.6375,1.3125,0.4375,40.78075575,20.36911575,7.881161,10.0640725,10.0
79,F,1.125,0.8625,0.2625,13.0691195,5.1312595,3.24601775,3.742134,10.0
80,F,1.1625,0.85,0.2875,13.33843975,5.953395,3.0333965,3.40194,7.0
81,M,1.475,1.1625,0.375,29.5685285,12.6722265,6.2652395,7.7961125,11.0
82,I,1.3,1.0125,0.35,18.597272,8.278054,4.8477645,5.953395,9.0
